Category,AverageRating,Reviews,Installs,color
ART_AND_DESIGN,4.34874576775256,1419203,114338100,#d1e730
AUTO_AND_VEHICLES,4.18798725346654,1163666,53130211,#e4605a
BEAUTY,4.25671082074091,396240,27197050,#f53bba
BOOKS_AND_REFERENCE,4.30397243876379,16721314,1665969576,#302476
BUSINESS,4.12642656696648,9890245,697164865,#5432f3
COMICS,4.181187251621,2342071,44981150,#0c4fc7
COMMUNICATION,4.13117885612029,285811368,11038276251,#64b1c7
DATING,4.01409352444067,3623544,140926107,#175133
EDUCATION,4.36280036172595,13364148,352952000,#579767
ENTERTAINMENT,4.13529411764706,34762650,2113660000,#67b65f
EVENTS,4.35768152909956,161018,15973161,#67b65f
FAMILY,4.17887906231816,143825488,4427941505,#337057
FINANCE,4.12275203174402,12662106,455348734,#b566e9
FOOD_AND_DRINK,4.17248548943736,6325028,211798751,#2de21b
GAME,4.24373558199504,622298709,13878924415,#4bdd33
HEALTH_AND_FITNESS,4.23237046526761,21361355,1144022512,#a0798f
HOUSE_AND_HOME,4.15376914249535,1929847,97212461,#083ea5
LIBRARIES_AND_DEMO,4.17696262985429,906831,52995910,#2954a8
LIFESTYLE,4.10807730917719,11832671,503823539,#97905a
MAPS_AND_NAVIGATION,4.05001648542018,17729148,503281890,#5780e4
MEDICAL,4.16833042978669,1182971,38193177,#173dfe
NEWS_AND_MAGAZINES,4.13174075696614,23130228,2369217760,#c653b9
PARENTING,4.278873840898,958331,31521110,#f80085
PERSONALIZATION,4.29923658920284,53543080,1532494782,#29cc6b
PHOTOGRAPHY,4.15842838013161,105351270,4649147655,#4f90a7
PRODUCTIVITY,4.18140840190729,55590649,5793091369,#d46acb
SHOPPING,4.2238185494977,44551730,1400348785,#810756
SOCIAL,4.23613702775718,227927801,5487867902,#09440f
SPORTS,4.20757168600068,35348813,1096474498,#291b81
TOOLS,4.05717471819504,229356578,8001771915,#24701f
TRAVEL_AND_LOCAL,4.08467478288774,26819741,2894887146,#d2731c
VIDEO_PLAYERS,4.05643340908478,67484568,3926902720,#d583a8
WEATHER,4.23686963693311,12295164,361100520,#9a62f4
