Category,Rating,Number
DATING,4.014093524440674,171
MAPS_AND_NAVIGATION,4.0500164854201826,131
VIDEO_PLAYERS,4.056433409084784,163
TOOLS,4.057174718195043,827
TRAVEL_AND_LOCAL,4.0846747828877366,219
LIFESTYLE,4.108077309177191,369
FINANCE,4.122752031744015,345
BUSINESS,4.126426566966475,420
COMMUNICATION,4.13117885612029,315
NEWS_AND_MAGAZINES,4.131740756966135,254
ENTERTAINMENT,4.135294117647058,102
HOUSE_AND_HOME,4.153769142495352,74
PHOTOGRAPHY,4.158428380131614,281
MEDICAL,4.168330429786688,395
FOOD_AND_DRINK,4.172485489437358,112
LIBRARIES_AND_DEMO,4.176962629854286,84
FAMILY,4.178879062318162,1832
COMICS,4.181187251621001,56
PRODUCTIVITY,4.1814084019072855,374
AUTO_AND_VEHICLES,4.187987253466542,85
SPORTS,4.20757168600068,325
SHOPPING,4.2238185494977,202
HEALTH_AND_FITNESS,4.232370465267611,288
SOCIAL,4.23613702775718,239
WEATHER,4.236869636933113,79
GAME,4.24373558199504,959
BEAUTY,4.2567108207409055,53
PARENTING,4.278873840898,60
PERSONALIZATION,4.299236589202838,376
BOOKS_AND_REFERENCE,4.303972438763793,222
ART_AND_DESIGN,4.348745767752561,64
EVENTS,4.357681529099564,64
EDUCATION,4.3628003617259505,119
