Size,Rating
19.0,4.1
14.0,3.9
8.7,4.7
25.0,4.5
2.8,4.3
5.6,4.4
19.0,3.8
29.0,4.1
33.0,4.4
3.1,4.7
28.0,4.4
12.0,4.4
20.0,4.2
21.0,4.6
37.0,4.4
2.7,3.2
5.5,4.7
17.0,4.5
39.0,4.3
31.0,4.6
14.0,4.0
12.0,4.1
4.2,4.7
7.0,4.173243045387998
23.0,4.7
6.0,4.8
25.0,4.7
6.1,4.1
4.6,3.9
4.2,4.1
9.2,4.2
5.2,4.1
11.0,4.5
11.0,4.2
4.2,4.7
9.2,3.8
24.0,4.7
20.39528931451608,4.1
11.0,4.7
9.4,4.0
15.0,4.2
10.0,4.5
20.39528931451608,4.4
1.2,3.8
12.0,4.2
24.0,4.7
26.0,4.6
8.0,4.2
7.9,4.3
25.0,4.2
56.0,4.0
57.0,3.8
20.39528931451608,4.6
35.0,3.9
33.0,4.3
33.0,4.9
5.6,4.4
54.0,4.2
0.201,4.0
3.6,3.9
5.7,4.6
17.0,4.9
8.6,4.3
2.4,4.6
27.0,4.9
2.7,3.9
2.5,4.0
20.39528931451608,4.3
20.39528931451608,3.9
7.0,4.2
35.0,4.8
16.0,3.6
16.0,4.2
20.39528931451608,4.8
17.0,4.8
3.4,4.6
8.9,4.5
3.9,4.3
2.9,4.5
38.0,4.9
32.0,3.9
37.0,4.4
15.0,4.0
5.4,4.3
18.0,3.7
20.39528931451608,4.4
38.0,4.3
1.1,3.2
20.39528931451608,4.6
20.39528931451608,4.6
7.9,4.5
35.0,3.7
20.39528931451608,4.6
17.0,4.6
19.0,4.6
14.0,4.0
2.2,4.4
4.5,4.0
17.0,4.7
14.0,4.9
9.8,4.7
21.0,3.9
20.39528931451608,3.9
52.0,4.2
14.0,4.6
25.0,4.3
9.0,4.7
20.39528931451608,4.7
12.0,4.8
20.39528931451608,4.2
35.0,4.3
6.7,4.5
30.0,4.1
5.7,4.173243045387998
2.9,4.2
17.0,4.5
2.9,4.4
20.39528931451608,4.0
20.39528931451608,4.1
2.6,4.1
4.2,4.4
7.1,4.6
57.0,4.5
3.7,4.173243045387998
22.0,3.9
24.0,4.4
7.4,4.173243045387998
21.0,4.6
3.4,3.8
2.9,4.173243045387998
3.1,4.173243045387998
6.4,4.0
3.2,4.3
8.2,4.5
9.9,4.173243045387998
2.9,4.1
23.0,3.7
4.6,4.7
3.1,4.2
20.39528931451608,4.6
4.9,4.5
9.5,4.6
20.39528931451608,4.4
20.39528931451608,4.2
20.39528931451608,4.5
20.39528931451608,4.5
20.39528931451608,4.5
4.2,4.5
5.4,4.4
20.39528931451608,4.5
2.8,4.6
5.0,4.8
20.39528931451608,3.9
5.9,4.6
13.0,4.2
7.1,4.1
6.7,4.7
20.39528931451608,4.2
17.0,4.3
19.0,3.3
6.7,4.6
21.0,4.8
20.39528931451608,4.7
2.7,4.173243045387998
37.0,4.1
15.0,4.6
23.0,4.1
19.0,4.6
23.0,4.7
73.0,4.5
4.9,3.9
6.8,4.4
20.39528931451608,4.3
20.39528931451608,4.2
2.9,4.5
3.5,4.4
4.0,3.4
21.0,4.9
2.3,4.6
20.39528931451608,4.4
7.2,4.173243045387998
10.0,4.4
6.1,4.4
2.1,4.4
42.0,3.5
7.3,4.173243045387998
30.0,4.4
20.39528931451608,4.1
20.39528931451608,4.3
20.39528931451608,4.4
29.0,4.3
20.39528931451608,4.3
20.39528931451608,4.1
20.39528931451608,4.4
35.0,4.3
9.1,3.9
25.0,4.8
3.9,4.5
18.0,4.4
12.0,4.0
21.0,4.3
20.39528931451608,4.0
20.39528931451608,4.2
20.39528931451608,4.5
20.39528931451608,4.2
55.0,4.2
3.2,4.6
20.39528931451608,4.1
20.39528931451608,4.6
0.023,3.1
16.0,3.9
20.39528931451608,4.3
14.0,4.1
37.0,4.4
20.39528931451608,4.1
20.39528931451608,4.1
11.0,4.5
25.0,4.4
7.3,4.4
6.5,4.3
25.0,4.4
3.1,4.6
20.39528931451608,4.2
1.5,4.4
7.5,4.7
8.6,3.8
20.39528931451608,3.9
1.2,4.173243045387998
20.39528931451608,4.3
20.39528931451608,4.4
39.0,4.7
14.0,4.5
19.0,4.2
6.8,4.7
39.0,4.8
14.0,4.2
20.0,4.3
20.39528931451608,4.4
26.0,4.1
51.0,3.8
41.0,4.3
20.0,3.8
20.39528931451608,3.5
12.0,4.1
48.0,4.6
10.0,4.3
22.0,4.5
11.0,4.1
8.5,4.5
8.6,4.6
20.39528931451608,4.0
28.0,4.2
28.0,4.4
9.0,4.0
46.0,4.2
20.39528931451608,4.2
14.0,4.1
26.0,3.8
23.0,3.9
20.39528931451608,3.9
29.0,4.5
20.39528931451608,4.5
4.9,4.6
27.0,4.7
32.0,4.7
12.0,4.8
15.0,3.9
11.0,4.1
28.0,4.4
2.2,4.6
3.4,4.5
8.3,4.7
4.3,4.4
4.7,4.5
10.0,3.9
15.0,3.2
7.1,3.2
21.0,4.1
6.1,4.5
20.39528931451608,4.2
15.0,4.2
11.0,3.7
29.0,4.5
3.3,4.6
20.39528931451608,4.5
22.0,4.173243045387998
40.0,4.7
10.0,4.4
9.1,3.5
4.7,3.3
38.0,4.5
20.39528931451608,4.4
6.7,4.2
37.0,5.0
20.39528931451608,4.4
7.8,4.7
19.0,4.4
5.7,4.4
35.0,4.6
20.39528931451608,4.0
20.39528931451608,4.4
17.0,4.3
20.39528931451608,4.3
20.39528931451608,4.4
20.39528931451608,4.3
20.39528931451608,4.0
20.39528931451608,4.3
8.8,4.3
20.39528931451608,4.4
16.0,4.3
11.0,4.3
11.0,4.3
20.39528931451608,4.3
15.0,4.3
6.6,4.0
20.39528931451608,4.5
6.6,4.3
20.39528931451608,3.7
20.39528931451608,4.5
5.1,3.9
20.39528931451608,4.4
18.0,3.6
4.0,4.4
20.39528931451608,4.2
20.39528931451608,4.4
20.39528931451608,4.1
37.0,4.4
20.39528931451608,4.3
22.0,4.2
20.39528931451608,4.2
3.3,4.4
32.0,4.4
37.0,3.9
20.39528931451608,4.2
20.39528931451608,4.4
20.39528931451608,4.6
20.39528931451608,4.3
20.39528931451608,4.3
17.0,4.4
20.39528931451608,3.7
20.39528931451608,4.3
35.0,3.9
40.0,4.5
61.0,3.7
66.0,4.3
0.079,4.0
25.0,4.1
14.0,4.2
20.39528931451608,4.2
20.39528931451608,4.1
24.0,4.4
17.0,4.1
8.3,4.3
20.39528931451608,4.3
8.2,4.5
20.39528931451608,4.3
20.39528931451608,4.2
20.39528931451608,4.2
20.39528931451608,4.5
8.4,4.3
20.39528931451608,4.3
20.39528931451608,4.3
32.0,4.2
6.1,4.6
2.8,4.2
20.39528931451608,4.5
2.2,4.1
20.39528931451608,4.2
4.3,4.1
4.7,4.3
2.3,4.1
2.3,4.2
20.39528931451608,4.0
11.0,4.2
2.7,4.2
13.0,4.3
3.7,4.4
10.0,4.2
13.0,4.4
13.0,4.2
8.8,4.8
5.5,4.4
20.0,4.4
29.0,4.4
20.39528931451608,4.0
20.39528931451608,4.5
11.0,4.4
20.39528931451608,4.1
17.0,4.2
17.0,4.5
20.39528931451608,4.3
20.39528931451608,4.5
0.118,4.0
5.1,4.2
20.39528931451608,4.5
44.0,4.6
7.3,4.1
30.0,4.0
0.695,4.2
20.39528931451608,4.6
1.6,4.1
19.0,4.3
20.39528931451608,4.2
20.39528931451608,4.3
23.0,4.1
26.0,4.6
20.39528931451608,4.2
6.2,2.6
20.0,4.173243045387998
0.018,4.173243045387998
1.2,4.173243045387998
17.0,3.5
20.39528931451608,4.0
15.0,4.1
20.39528931451608,3.7
56.0,4.1
12.0,4.2
11.0,4.5
29.0,4.4
20.39528931451608,4.2
40.0,4.0
20.39528931451608,4.1
53.0,3.1
3.1,4.4
24.0,4.2
23.0,4.1
5.0,3.9
44.0,4.3
27.0,4.4
6.1,3.5
20.39528931451608,4.0
21.0,3.3
11.0,4.5
21.0,4.4
24.0,4.1
31.0,3.9
27.0,3.9
6.2,3.6
20.39528931451608,4.0
12.0,3.6
8.0,3.4
5.9,4.2
7.9,4.1
5.0,3.4
1.4,3.0
13.0,4.6
40.0,4.1
13.0,3.9
19.0,1.9
5.0,3.5
19.0,2.5
27.0,3.9
3.0,3.4
13.0,3.5
7.2,4.4
25.0,3.8
20.39528931451608,4.2
5.7,2.5
5.5,2.8
20.39528931451608,4.1
6.5,4.2
5.8,3.5
20.39528931451608,4.3
3.8,3.3
41.0,4.1
7.9,4.2
2.8,3.5
20.0,4.2
15.0,4.4
28.0,4.1
9.6,4.2
13.0,4.3
